# Generated from Chewing tsi.csv
# Source revision: ea74f76dd2548b1d65d0ff70c3ae66057a6ad97d
# Dictionary license: LGPL-2.1-or-later
㹴	犬
下層組	織
下工	廠	夫	作
下巴	頰	顆
下帖	子
下年	度
下廚	房
下弦	月
下心	來
下必	有
下必有	勇
下必有勇	夫
下情	上
下情上	達
下愈	況
下意	識
下所	示	述
下所示	者
下所述	者
下手	為
下手為	強
下掩	體
下敗	將
下斷	語
下早	好
下星	期
下有	餘	蘇
下有蘇	杭
下本	無
下本無	事
下條	子
下樑	歪
下樓	去	來
下欺	上
下毒	手
下水	道	位	典	禮	船
下水典	禮
下沒	有
下沒有	白
下沒有白	吃
下沾	襟
下注	射
下活	動
下流	社	人
下流人	士
下流社	會
下海	口
下淚	來
下游	工
下游工	業
下溫	度
下為	公	家
下無	敵	雙	難	完	弱	情
下無完	卵
下無弱	兵
下無難	事
下營	區
下片	時
下班	時
下班時	間
下留	情	人
下眼	皮
下禍	根
下程	度
下筆	成
下筆成	章
下等	貨
下級	機	組
下級機	關
下級組	織
下組	織
下結	論
下老	人	兒
下而	上
下肢	骨
下腳	料
下腺	炎
下臉	來
下花	前
下落	不
下落不	明
下著	雨	雪
下蒼	生
下行	列
下行列	車
下視	丘
下課	後	時
下課時	間
下諾	言
下議	院
下起	來
下車	時
下輩	子
下逐	客
下逐客	令
下這	口
下這口	氣
下錢	莊
下鐵	道
下開	採
下阿	蒙
下陣	來
下階	層	級
下雜	誌
下雨	天
下電	器	機
下頭	來	去
下顎	骨
下顛	倒
下馬	威
不	過	同	是	會	能	要	得	可
不一	定	會	而
不一會	兒
不一而	足
不丈	夫
不三	不
不三不	四
不上	來	去	眼	不	道	邊
不上不	下
不下	去	來	於	這
不下這	口
不下這口	氣
不世	出	之
不世之	材
不中	用	留	不	吃	意	聽
不中不	西
不主	兵
不久	就
不乏	其
不乏其	人
不也	是
不了	什	情	了	那	近	台	臺
不了了	之
不了什	麼
不了近	火
不了那	麼
不了那麼	多
不予	置
不予置	評
不事	生
不事生	產
不二	法	價
不二法	門
不五	時
不亞	於
不亢	不
不亢不	卑
不交	睫
不亦	樂
不亦樂	乎
不亮	也
不亮也	光
不人	道
不介	意
不以	為
不以為	然	忤	苦
不但	是
不住	腳	火	氣
不作	美	聲	第	答
不作第	二
不作第二	人
不來	電	梅
不侵	犯
不侵犯	條
不侵犯條	約
不保	夕
不信	任	邪
不信任	投
不信任投	票
不修	邊
不修邊	幅
不倒	翁
不倫	不
不倫不	類
不值	得	一
不值一	提	顧	文	看	笑
不假	思	外
不假外	出	求
不假思	索
不偏	不
不偏不	倚
不做	二	聲	暗
不做二	不
不做二不	休
不做暗	事
不停	蹄
不傷	和
不傷和	氣
不僅	是	僅
不僅僅	是
不像	話	人	樣
不償	失
不充	饑
不先	來	去
不光	是	在	會
不免	有
不免有	些
不入	流	虎
不入虎	穴
不全	是	會
不兩	立
不公	不
不公不	義
不共	戴	天	法
不共天	地
不共戴	天
不共戴天	之
不其	然
不再	是	出	需
不再出	版
不再需	要
不冷	不
不冷不	熱
不凍	港
不出	來	去	門	口	戶	所	象
不出所	料
不出象	牙
不分	青	彼	晝	離	男	軒	皂	輕
不分彼	此
不分晝	夜
不分男	女
不分男女	老
不分皂	白
不分軒	輊
不分輕	重
不分輕重	緩
不分青	紅
不分青紅	皂
不分首	從
不切	實	題
不切實	際
不列	顛
不列顛	尼
不列顛尼	亞
不利	於	己
不前	不
不前不	後
不副	實
不加	思	考
不加思	索
不加考	慮
不努	力
不勒	斯
不動	產	聲	尊	手	搖	明
不動尊	金
不動尊金	剛
不動明	王
不動聲	色
不務	正
不務正	業
不勝	感	枚	收	防	寒	負	唏	其
不勝其	煩	擾
不勝唏	噓
不勝感	激
不勝枚	舉
不勝負	荷
不勝酒	力
不勞	而
不勞而	獲
不升	反
不升反	降
